date,code,open,high,low,close,preclose,volume,amount,pctChg,振幅
2023-06-13,sh.000300,3838.1287,3867.3034,3833.4598,3864.9074,3844.4324,11092494600,225435215314.9,0.532588,0.8803
2023-06-14,sh.000300,3872.7155,3891.6656,3862.0609,3864.0247,3864.9074,12495575900,243932581183.9,-0.022839,0.766
2023-06-15,sh.000300,3871.7746,3925.4994,3871.7746,3925.4994,3864.0247,12836993800,282635910894.2,1.59095,1.3904
2023-06-16,sh.000300,3932.2114,3968.0128,3928.5419,3963.3509,3925.4994,13976007600,280374762837.8,0.964247,1.0055
2023-06-19,sh.000300,3957.0327,3957.0327,3922.4742,3930.9079,3963.3509,13490584800,268213068579.8,-0.818575,0.872
2023-06-20,sh.000300,3926.094,3937.4945,3918.473,3924.2377,3930.9079,12252031800,266274081286.8,-0.169686,0.4839
2023-06-21,sh.000300,3909.1044,3920.1276,3864.0323,3864.0323,3924.2377,11834657500,243630705591.5,-1.534194,1.4295
2023-06-26,sh.000300,3833.4436,3841.2862,3801.0537,3809.6962,3864.0323,13399041900,247713845779.5,-1.406202,1.0412
2023-06-27,sh.000300,3811.6872,3851.8957,3806.3242,3845.4334,3809.6962,11699268100,210097713687.6,0.938059,1.1962
2023-06-28,sh.000300,3836.6086,3846.8516,3808.1607,3840.7986,3845.4334,10702154100,206187959876.8,-0.120527,1.0062
2023-06-29,sh.000300,3836.7305,3840.7132,3817.3759,3821.8435,3840.7986,9828927400,204110031407.8,-0.49352,0.6076
2023-06-30,sh.000300,3816.3345,3860.0311,3813.552,3842.4516,3821.8435,10126842900,208146272909.0,0.539219,1.2161
2023-07-03,sh.000300,3853.2919,3897.3273,3853.2919,3892.8821,3842.4516,13315805100,256876520211.7,1.312456,1.146
2023-07-04,sh.000300,3888.0328,3899.9755,3878.3978,3899.0133,3892.8821,10949452700,216335611421.8,0.157498,0.5543
2023-07-05,sh.000300,3895.1945,3899.5188,3864.1301,3868.8054,3899.0133,9763638400,188400265050.6,-0.774758,0.9076
2023-07-06,sh.000300,3857.0304,3876.8901,3836.4573,3842.7547,3868.8054,10012184200,184742420862.3,-0.673353,1.0451
2023-07-07,sh.000300,3831.5955,3844.8438,3819.0772,3825.6988,3842.7547,10090692000,173918560673.0,-0.443846,0.6705
2023-07-10,sh.000300,3841.5591,3865.4566,3831.92,3844.3269,3825.6988,9203344100,185360813110.7,0.48692,0.8766
2023-07-11,sh.000300,3853.7955,3870.6549,3844.5244,3869.4861,3844.3269,8651071600,177585694368.3,0.65445,0.6797
2023-07-12,sh.000300,3864.6013,3874.0403,3838.5632,3843.4369,3869.4861,11152202400,214046519056.1,-0.673195,0.9168
2023-07-13,sh.000300,3855.662,3901.1023,3855.662,3898.4229,3843.4369,12030023200,235278706834.5,1.430647,1.1823
2023-07-14,sh.000300,3904.6033,3908.4871,3893.7862,3899.1027,3898.4229,12236484600,220230466522.9,0.017438,0.3771
2023-07-17,sh.000300,3881.6225,3881.6225,3852.2626,3867.1749,3899.1027,9834014400,174623552807.4,-0.81885,0.753
2023-07-18,sh.000300,3871.0444,3871.0444,3844.5129,3854.9393,3867.1749,9143861500,167104315117.1,-0.316396,0.6861
2023-07-19,sh.000300,3848.4826,3860.0092,3830.4073,3850.8663,3854.9393,7958570000,151311481029.8,-0.105657,0.7679
2023-07-20,sh.000300,3857.7725,3875.6241,3818.7134,3823.6946,3850.8663,9204207600,174320872139.8,-0.7056,1.4779
2023-07-21,sh.000300,3816.9835,3849.5109,3808.803,3821.91,3823.6946,7950756300,157144211209.3,-0.046672,1.0646
2023-07-24,sh.000300,3803.3492,3828.7853,3798.8048,3805.221,3821.91,7548354500,151448369566.2,-0.436666,0.7844
2023-07-25,sh.000300,3866.6445,3915.8148,3866.6445,3915.1153,3805.221,16306632000,299853562168.1,2.887987,1.2922
2023-07-26,sh.000300,3908.174,3912.9834,3893.3987,3907.0128,3915.1153,10788171700,192912604792.0,-0.206954,0.5002
2023-07-27,sh.000300,3914.2298,3935.3578,3894.6923,3902.3458,3907.0128,11066710900,196845425513.0,-0.119452,1.0408
2023-07-28,sh.000300,3889.7929,4000.919,3886.5535,3992.7376,3902.3458,17973548100,310092467404.5,2.316345,2.9307
2023-07-31,sh.000300,4018.8895,4064.3621,4002.0784,4014.6301,3992.7376,19960683000,366544120003.6,0.548308,1.5599
2023-08-01,sh.000300,4009.1831,4031.7008,3983.0273,3998.001,4014.6301,14228685900,255620773637.6,-0.414213,1.2124
2023-08-02,sh.000300,3985.6951,4008.3343,3958.5127,3969.895,3998.001,12585569000,204875690923.8,-0.703001,1.2462
